,Longitude,Latitude,mean_value_NO2,nightlight_450,nightlight_3150,population_1000,population_3000,road_class_2_25,road_class_3_3000,road_class_3_300,trop_mean_filt_2019,BldDen100,NDVI,trafBuf25,trafBuf50
64,11.321017,50.982185,16.26678237,14.570078,5.441303,10532.05176,38206.26563,0.0,141431.0938,2952.42041,4.47e-05,1.000148169,2550.0,0.0,0.0
65,11.32607,50.977462,23.13214059,12.85043,5.510382,8085.698242,38097.93359,0.0,146474.0625,3766.76709,4.55e-05,1.000145194,3322.0,0.0,0.0
66,11.362965,53.302352,5.927306083,0.0,0.035494,206.806427,577.257385,0.0,21185.67578,706.502502,3.87e-05,0.497964563,5833.0,0.0,0.0
67,11.368875,50.651182,13.5785435,13.752848,3.521407,5600.080078,17562.35156,0.0,103467.8594,2865.951416,4.27e-05,0.981915954,1670.0,0.0,0.0
68,11.398332,53.631805,18.61263093,14.278656,6.074976,7152.58252,31177.25195,0.0,131652.2031,3980.035889,4.12e-05,1.000182804,1859.0,0.0,0.0
69,11.428766,48.769444,24.69514482,24.12701,16.330574,7788.133789,51900.35547,0.0,197362.1094,2333.673096,6.11e-05,0.926485005,4028.0,0.0,0.0
70,11.442591,50.103135,20.43848224,11.641057,3.141097,6253.734863,17832.16406,0.0,131402.6563,2274.123047,4.54e-05,0.994938297,2447.0,0.0,0.0
71,11.449471,51.759516,26.62909998,12.375986,4.504788,4377.119629,15000.14063,56.210655,95066.42188,3694.473389,4.57e-05,0.977958804,2339.0,373.0833333,373.0833333
72,11.46445,48.18169,24.34315522,8.481931,8.083261,12504.97754,85026.09375,0.0,189332.5,2944.926025,7.37e-05,0.999975347,2278.0,0.0,0.0
73,11.536513,48.149606,78.88171786,33.782764,27.850441,19956.24609,157773.0625,100.121826,301588.1875,3440.961182,8.26e-05,0.999925321,1895.0,3830.333333,3830.333333
74,11.554669,48.154534,31.27666562,23.879719,30.50951,19977.50977,162228.0938,0.0,310753.1563,3067.009277,8.23e-05,0.999912927,3084.0,0.0,0.0
75,11.564924,48.137252,53.71941371,62.10981,30.801077,20300.88672,165271.375,0.0,335687.9375,4538.242676,8.3e-05,0.999905187,941.0,3830.333333,3830.333333
76,11.570088,49.943637,28.79736625,18.716887,6.548541,9323.246094,42236.54297,0.0,162026.8438,3568.849121,4.41e-05,0.999964749,1563.0,241.5416667,241.5416667
77,11.597062,50.933513,15.76761538,12.466928,5.069834,11296.93457,42874.26953,0.0,153406.4688,2349.134277,4.55e-05,0.995167762,3706.0,0.0,0.0
78,11.611464,52.127899,17.52740268,20.616922,16.893696,8230.030273,55761.46094,0.0,239594.9688,3959.358887,5.32e-05,1.000015489,2496.0,0.0,0.0
79,11.631919,52.131742,26.97215754,36.696781,17.286533,8123.949707,58126.14063,0.0,237504.2031,3330.461426,5.22e-05,1.00000329,1559.0,0.0,0.0
80,11.632669,52.12076,34.82776426,25.816965,17.686255,6077.319824,58153.72656,0.0,221710.5313,4568.654297,5.18e-05,1.000002442,1868.0,0.0,0.0
81,11.661233,50.791616,5.670826579,0.0,0.02458,0.117894,464.223572,0.0,19453.52148,0.0,4.05e-05,0.0,5102.0,0.0,0.0
82,11.73846,52.99875,8.450011956,7.180743,3.03189,2707.100342,11662.26563,0.0,80156.46094,2466.689453,4.06e-05,0.793936729,5000.0,0.0,0.0
83,11.738962,51.803534,17.91764079,12.371262,6.992856,3652.306152,17459.03125,0.0,106244.1406,3585.70166,5.31e-05,0.999924407,3010.0,0.0,344.0
84,11.777818,48.853211,11.34661764,0.434232,0.295422,189.289612,1393.250244,0.0,35303.8125,949.782654,4.98e-05,0.051494224,4483.0,0.0,0.0
85,11.850274,52.602056,10.2486441,13.181631,4.1923,4543.007324,19303.56641,0.0,117327.4922,2470.175537,4.3e-05,0.999885385,3794.0,0.0,0.0
86,11.864763,52.268354,12.36167185,8.039787,3.800185,2884.746094,10724.61719,0.0,83875.84375,1703.738037,4.6e-05,0.906292505,2215.0,0.0,0.0
87,11.879245,48.909518,21.07785241,5.626307,3.652564,2117.106934,11021.44922,0.0,116461.8906,2388.897705,5.06e-05,0.770310475,2287.0,0.0,0.0
88,11.891412,51.837306,9.171559703,0.432899,0.13934,196.339523,912.535889,0.0,23025.35938,1021.188965,4.75e-05,0.020048386,4364.0,0.0,0.0
89,11.897492,50.320611,16.28196165,9.438989,4.152959,4872.402344,25884.71289,0.0,145126.3125,1583.037964,4.02e-05,0.926239632,3010.0,0.0,0.0
